,Resort,Year,Total Snowfall
0,Alta,2012 - 2013,366.0
1,Alta,2013 - 2014,353.0
2,Alta,2014 - 2015,278.0
3,Alta,2015 - 2016,286.0
4,Alta,2016 - 2017,304.0
5,Alta,2017 - 2018,190.0
6,Alta,2018 - 2019,656.0
7,Alta,2019 - 2020,326.0
8,Alta,2020 - 2021,330.0
9,Alta,2021 - To Date,265.0
10,Arapahoe Basin,2012 - 2013,281.0
11,Arapahoe Basin,2013 - 2014,418.0
12,Arapahoe Basin,2014 - 2015,314.0
13,Arapahoe Basin,2015 - 2016,290.0
14,Arapahoe Basin,2016 - 2017,345.0
15,Arapahoe Basin,2017 - 2018,247.0
16,Arapahoe Basin,2018 - 2019,329.0
17,Arapahoe Basin,2019 - 2020,173.0
18,Arapahoe Basin,2020 - 2021,236.0
19,Arapahoe Basin,2021 - To Date,100.0
20,Aspen Snowmass,2012 - 2013,309.0
21,Aspen Snowmass,2013 - 2014,326.0
22,Aspen Snowmass,2014 - 2015,220.0
23,Aspen Snowmass,2015 - 2016,305.0
24,Aspen Snowmass,2016 - 2017,319.0
25,Aspen Snowmass,2017 - 2018,233.0
26,Aspen Snowmass,2018 - 2019,396.0
27,Aspen Snowmass,2019 - 2020,233.0
28,Aspen Snowmass,2020 - 2021,257.0
29,Aspen Snowmass,2021 - To Date,294.0
30,Bear Mountain,2012 - 2013,102.0
31,Bear Mountain,2013 - 2014,38.0
32,Bear Mountain,2014 - 2015,51.0
33,Bear Mountain,2015 - 2016,81.0
34,Bear Mountain,2016 - 2017,174.0
35,Bear Mountain,2017 - 2018,36.0
36,Bear Mountain,2018 - 2019,133.0
37,Bear Mountain,2019 - 2020,79.0
38,Bear Mountain,2020 - 2021,110.0
39,Bear Mountain,2021 - To Date,83.0
40,Big Sky,2012 - 2013,395.0
41,Big Sky,2013 - 2014,466.0
42,Big Sky,2014 - 2015,236.0
43,Big Sky,2015 - 2016,294.0
44,Big Sky,2016 - 2017,277.0
45,Big Sky,2017 - 2018,325.0
46,Big Sky,2018 - 2019,266.0
47,Big Sky,2019 - 2020,72.0
48,Big Sky,2020 - 2021,162.0
49,Big Sky,2021 - To Date,143.0
50,Blue Mountain,2012 - 2013,56.0
51,Blue Mountain,2013 - 2014,129.0
52,Blue Mountain,2014 - 2015,100.0
53,Blue Mountain,2015 - 2016,99.0
54,Blue Mountain,2016 - 2017,68.0
55,Blue Mountain,2017 - 2018,156.0
56,Blue Mountain,2018 - 2019,106.0
57,Blue Mountain,2019 - 2020,103.0
58,Blue Mountain,2020 - 2021,7.0
59,Blue Mountain,2021 - To Date,93.0
60,Boyne Mountain,2012 - 2013,122.0
61,Boyne Mountain,2013 - 2014,217.0
62,Boyne Mountain,2014 - 2015,101.0
63,Boyne Mountain,2015 - 2016,113.0
64,Boyne Mountain,2016 - 2017,138.0
65,Boyne Mountain,2017 - 2018,130.0
66,Boyne Mountain,2018 - 2019,140.0
67,Boyne Mountain,2019 - 2020,110.0
68,Boyne Mountain,2020 - 2021,42.0
69,Boyne Mountain,2021 - To Date,90.0
70,Brighton,2012 - 2013,306.0
71,Brighton,2013 - 2014,265.0
72,Brighton,2014 - 2015,220.0
73,Brighton,2015 - 2016,386.0
74,Brighton,2016 - 2017,518.0
75,Brighton,2017 - 2018,329.0
76,Brighton,2018 - 2019,588.0
77,Brighton,2019 - 2020,388.0
78,Brighton,2020 - 2021,321.0
79,Brighton,2021 - To Date,259.0
80,Copper Mountain,2012 - 2013,237.0
81,Copper Mountain,2013 - 2014,352.0
82,Copper Mountain,2014 - 2015,254.0
83,Copper Mountain,2015 - 2016,247.0
84,Copper Mountain,2016 - 2017,246.0
85,Copper Mountain,2017 - 2018,202.0
86,Copper Mountain,2018 - 2019,246.0
87,Copper Mountain,2019 - 2020,201.0
88,Copper Mountain,2020 - 2021,185.0
89,Copper Mountain,2021 - To Date,188.0
90,Crystal Mountain,2012 - 2013,838.0
91,Crystal Mountain,2013 - 2014,429.0
92,Crystal Mountain,2014 - 2015,154.0
93,Crystal Mountain,2015 - 2016,409.0
94,Crystal Mountain,2016 - 2017,388.0
95,Crystal Mountain,2017 - 2018,403.0
96,Crystal Mountain,2018 - 2019,377.0
97,Crystal Mountain,2019 - 2020,326.0
98,Crystal Mountain,2020 - 2021,406.0
