,Resort,Resort_Lat,Resort_Long,Pass,Vertical Drop,Skiable Terrain,Average Snowfall
0,Alta,40.5882366,-111.638401,Ikon,2538.0,2614 ac,547.0
1,Arapahoe Basin Ski Area,39.6418691,-105.8720505,Ikon,2530.0,1428 ac,350.0
2,Aspen Snowmass,39.2029552,-106.9649584,Ikon,4406.0,5517 ac,300.0
3,Bear Mountain,34.22008645,-116.86103357649827,Ikon,1665.0,198 ac,100.0
4,Big Sky,45.2839783,-111.4011158,Ikon,4350.0,5800 ac,400.0
5,Blue Mountain,44.5025586,-80.3127754,Ikon,722.0,365 ac,110.0
6,Boyne Mountain,45.1586201,-84.9389365,Ikon,500.0,415 ac,140.0
7,Brighton,40.5983365,-111.5837440499217,Ikon,1745.0,1050 ac,500.0
8,Copper Mountain,39.4994186,-106.156329,Ikon,2738.0,2527 ac,300.0
9,Crystal Mountain,46.9388516,-121.4681704,Ikon,3100.0,2600 ac,486.0
10,Cypress Mountain,49.397680199999996,-123.2011442570911,Ikon,2008.0,600 ac,426.0
11,Deer Valley,40.6374025,-111.4782514,Ikon,3000.0,2026 ac,300.0
12,Eldora,39.9372517,-105.5839741,Ikon,1400.0,680 ac,311.0
13,Jackson Hole,43.58764505,-110.82793690597796,Ikon,4139.0,2500 ac,459.0
14,June Mountain,37.739932,-119.0701438,Ikon,2590.0,1500 ac,250.0
15,Killington,43.6270901,-72.7960511,Ikon,3050.0,1526 ac,250.0
16,Lake Louise,51.4423106,-116.1619165,Ikon,3251.0,4200 ac,179.0
17,Loon Mountain,44.04316265,-71.63557871714849,Ikon,2100.0,370 ac,160.0
18,Mammoth,37.6501547,-119.0375531,Ikon,3100.0,3500 ac,400.0
19,Mt. Bachelor,43.9792818,-121.6883658,Ikon,3365.0,4323 ac,462.0
20,Mt. Norquay,51.2013297,-115.6342494,Ikon,1650.0,190 ac,118.0
21,Palisades Tahoe,39.19662245,-120.23454683218175,Ikon,2850.0,6000 ac,450.0
22,Revelstoke,50.969262799999996,-118.10920857163046,Ikon,5620.0,3121 ac,413.0
23,Snow Summit,34.2205638,-116.8925308,Ikon,1200.0,240 ac,100.0
24,Snowbasin,41.216317,-111.8574281,Ikon,2900.0,3000 ac,300.0
25,Snowbird,40.5807546,-111.6572955,Ikon,3240.0,2500 ac,500.0
26,Solitude,40.6231058,-111.5976305,Ikon,2494.0,1200 ac,500.0
27,Steamboat,40.457488999999995,-106.76260400629693,Ikon,3668.0,2965 ac,336.0
28,Stratton,43.1129915,-72.9075824,Ikon,2003.0,670 ac,180.0
29,Sugarbush,44.1359865,-72.89439435356967,Ikon,2600.0,581 ac,250.0
